Course Name,Platform,File Path,File Name,Number of slides,Number of pictures,Estimated screenshots,Total words,keywords,Short Summary
Advanced Asset Management - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Advanced Asset Management in JSM - Cloud/AdvAssetMgmt-CLD-SG-2025-07-22.pptx,AdvAssetMgmt-CLD-SG-2025-07-22.pptx,202,151,17,6156,"objects, assets, object, field, fields, import, type, work, data, attribute, referenced, configuration",Advanced Asset Management • In Jira Service Management • Cloud • Course Overview • 1
Advanced Asset Management - DC,DC,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Advanced Asset Management in JSM - DC -retiring/AdvAssetMgmt-DC-SG-2024-06-01.pptx,AdvAssetMgmt-DC-SG-2024-06-01.pptx,197,161,15,5634,"object, assets, custom, field, objects, fields, step, attribute, type, referenced, configuration, filter",Advanced Asset Management • In Jira Service Management • Data Center • Course Overview • 1
Asset Management Essentials - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Asset Management Essentials in JSM - Cloud/AssetsEss-CLD-SG-2025-07-14.pptx,AssetsEss-CLD-SG-2025-07-14.pptx,274,226,44,7351,"object, assets, type, objects, attribute, types, data, schema, attributes, import, configuration, search",Asset Management Essentials • Cloud • Course Overview • 1 • Navigate the Assets interface and object schemas
Asset Management Essentials - DC,DC,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Asset Management Essentials in JSM - DC/AssetsEss-DC-SG-2025-03-27.pptx,AssetsEss-DC-SG-2025-03-27.pptx,293,233,25,7990,"object, assets, type, objects, data, types, attribute, attributes, import, schema, configuration, search",Asset Management Essentials • Data Center • Course Overview • 1 • Navigate the Assets interface and object schemas
Organization Administration - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Atlassian Cloud Organization Administration/Atl-Cld-Org-Admin-SG-2025-06-02.pptx,Atl-Cld-Org-Admin-SG-2025-06-02.pptx,220,287,23,6102,"access, organization, atlassian, user, users, admin, site, apps, accounts, managed, features, cloud","Atlassian • Organization Administration • Course Overview • 1 • Define Atlassian cloud organizations, sites, and apps"
Atlassian Incident Management Essentials - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Atlassian Incident Management Essentials/Incident-Mgmt-CLD-SG-2025-06-08.pptx,Incident-Mgmt-CLD-SG-2025-06-08.pptx,147,151,39,4102,"incident, service, team, major, management, incidents, communicate, atlassian, project, services, investigate, detect",Atlassian Incident Management Essentials • Cloud • Course Overview • 1 • List the stages for a major incident
Atlassian Service Request Management Essentials - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Atlassian Service Request Management Essentials/Service-Req-Mgmt-CLD-SG-2025-06-16.pptx,Service-Req-Mgmt-CLD-SG-2025-06-16.pptx,162,148,24,4786,"service, request, assets, knowledge, object, create, management, automation, requests, base, articles, field",Atlassian Service Request Management Essentials • Cloud • Course Overview • 1 • List the advantages of service request management
Confluence Administration - Cloud,Cloud,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Confluence Administration - Cloud/Conf-Admin-CLD-SG-2025-06-12.pptx,Conf-Admin-CLD-SG-2025-06-12.pptx,123,162,11,2969,"space, confluence, users, permissions, analytics, access, user, administrator, site, atlassian, permission, create",Confluence Administration • Cloud • Course Overview • 1 • Managing users in Confluence
Confluence Administration - DC,DC,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Confluence Administration - DC - Retiring/Conf-Admin-DC-SG-2023-11-17.pptx,Conf-Admin-DC-SG-2023-11-17.pptx,180,215,14,5776,"space, page, confluence, users, create, content, pages, permission, permissions, spaces, administrator, view",Confluence Administration • Data Center • Course Overview • 1 • Configure System settings
Confluence Essentials - DC,DC,/Users/bkhouni/Atlassian Dropbox/Atlassian University/AU Content/_PROD/ILT/8.x (Prod)/Confluence Essentials - DC - Retiring/ConfluenceEssentials-DC-SG-2023-11-20.pptx,ConfluenceEssentials-DC-SG-2023-11-20.pptx,217,278,11,4397,"page, space, confluence, pages, content, create, blueprint, using, jira, attachments, delete, atlassian",Confluence Essentials • Data Center • Course Overview • 1 • Access to a Confluence account
